adaptive-o2_bpb,adaptive-o3_bpb,category,eval_bytes,file,frozen_neural_bpb,zlib_bpb,zstd19_bpb
4.000171782838742,3.7603875608654,english-text,65536,alice29.txt,5.231492791129254,2.997802734375,2.8336181640625
4.208212478287478,3.9567068760705957,shakespeare-play,65536,asyoulik.txt,5.428569037029985,3.2215576171875,3.0648193359375
4.32942900125142,3.78132919514338,html-source,24603,cp.html,7.332196995072222,2.5817989676055766,2.5079868308742834
4.102682432159821,3.579109881307435,c-source,11150,fields.c,6.348873677403848,2.2349775784753363,2.1632286995515697
3.8836122559842003,3.386617962987064,lisp-source,3721,grammar.lsp,6.255773316132303,2.627250739048643,2.6036011824778287
2.5971301251282366,2.275362718871604,excel-spreadsheet,65536,kennedy.xls,15.451335241481615,1.729736328125,0.94921875
4.09200161325102,3.83544460091929,technical-writing,65536,lcet10.txt,4.842253757640445,2.8218994140625,2.6627197265625
3.9889060934952267,3.803127740359425,poetry,65536,plrabn12.txt,5.109955733114325,3.4468994140625,3.2437744140625
0.56476999094664,0.5578602256541991,ccitt-fax,65536,ptt5,16.216972886616325,0.3741455078125,0.3143310546875
4.736431368020262,4.427952097158641,sparc-executable,38240,sum,11.442507717500916,2.685774058577406,2.3236401673640166
4.399182364643186,3.998996347929505,gnu-manual,4227,xargs.1,5.590868783775277,3.2855453039981075,3.2628341613437426
