activation_credit_bits,max_oracle_regret_bpb,max_probe_bytes,mean_decision_byte,mean_oracle_regret_bpb,mean_specialist_call_fraction,min_observations,rejection_credit_bits
0,0.257568359375,16,6.3,0.0365234375,0.55098876953125,4,2
0,0.257568359375,16,6.9,0.0348876953125,0.60108642578125,4,4
0,0.2138671875,16,7.65,0.02200927734375,0.65115966796875,4,6
0,0.013671875,16,8.5,0.00096435546875,0.80101318359375,4,8
0,0.013671875,16,8.6,0.00096435546875,0.80106201171875,4,10
0,0.013671875,16,9.05,0.00096435546875,0.801171875,4,12
0,0.013671875,16,9.05,0.00096435546875,0.801171875,4,16
2,0.257568359375,16,6.9,0.0365234375,0.50137939453125,4,2
2,0.257568359375,16,7.5,0.0348876953125,0.55147705078125,4,4
2,0.2138671875,16,8.3,0.02200927734375,0.60155029296875,4,6
2,0.013671875,16,9.3,0.00096435546875,0.75140380859375,4,8
2,0.013671875,16,9.4,0.00096435546875,0.75145263671875,4,10
2,0.013671875,16,9.85,0.00096435546875,0.7515625,4,12
2,0.013671875,16,9.85,0.00096435546875,0.7515625,4,16
4,0.257568359375,16,7.45,0.03643798828125,0.45157470703125,4,2
4,0.257568359375,16,8.05,0.03480224609375,0.50167236328125,4,4
4,0.2138671875,16,8.85,0.021923828125,0.55174560546875,4,6
4,0.013671875,16,9.95,0.0015380859375,0.65179443359375,4,8
4,0.013671875,16,10.05,0.0015380859375,0.65184326171875,4,10
4,0.013671875,16,10.5,0.0015380859375,0.651953125,4,12
4,0.013671875,16,10.5,0.0015380859375,0.651953125,4,16
6,0.257568359375,16,7.45,0.03648681640625,0.40177001953125,4,2
6,0.257568359375,16,8.1,0.03485107421875,0.45186767578125,4,4
6,0.2138671875,16,8.9,0.02197265625,0.50194091796875,4,6
6,0.013671875,16,10.05,0.0015869140625,0.60198974609375,4,8
6,0.013671875,16,10.15,0.0015869140625,0.60203857421875,4,10
6,0.013671875,16,10.6,0.0015869140625,0.6021484375,4,12
